study,dimension,judge_id,definition
study2,understanding,5968,"Since a single theorem was not sufficient to convince people why it is true, there must be detailed and prudent proof to support the argument."
study2,understanding,6756,"The proof is the provision of evidence that the suggested theorem is true for ANY case.  If the proof is mathematically correct, then there isn't any case for which the theorem isn't true, therefore proving that taken any number - the equation will hold. "
study2,understanding,7066,A proof is a logical sequence to deduce a theorem. Proofs give reasons for a theorem to be true.
study2,understanding,5375,"A proof can show rigorously that a theorem is true in all possible cases, and, if there are no mistakes, it is enough to convince me that the theorem is true. Also, deconstructing a proof can sometimes help to provide an intuition for the proof, for example using a geometric representation of the theorem. This can help *understand* why the theorem is true, rather than just believing it."
study2,understanding,5871,"The proof starts with an acceptable assumption, which is either a condition of the theorem or an axiom. Then, it uses implication to arrive to the desired conclusion."
study2,understanding,6020,"1. Base case, let's prove that P(1)

left: sum(2*k-1,k,1,1)=2*1-1=1

right: n^2=1^2=1

so, it's true for P(1)

2. Induction step: Assume that P(n) is true and consider,

sum(2*k-1,k,1,n+1)=sum(2*k-1,k,1,n)+(2*(n+1)-1)

                              =n^2+(2*n+1)

                              =(n+1)^2

where we used the statement P(n) to replace sum(2*k-1,k,1,n) with (n+1)^2

Hence sum(2*k-1,k,1,n+1)=(n+1)^2 which proves that P(n)=>P(n+1) is true

Since P(1),P(n)=>P(n+1) it follows that P(n) is true for all n belongs to N by the principle of mathematical induction."
study2,understanding,6703,A good proof will be easy to understand and have the necessary logical steps to take you from point A to point B. As well as being rigorous a proof should help you to see the connection between the two statements that you're trying to prove. Every step in the proof should have a clear role in displaying the reasons why one statement is equivalent to another. 
study2,understanding,6118,It is helpful as it help to see where theorems come from each other. Also makes theorems easier to understand.
study2,understanding,6109,Every step should be explained explicitly and  the steps have to be clearly (First..Second..etc) 
study2,understanding,5566,"Any unbroken chain of logical steps which deduces something I didn't know from something I did know is perfectly valid, so long as the steps are explained in their entirety.  Clarity, of course, is essential to understanding the proof, so a more explanatory one is more effective."
study2,understanding,5855,A proof shows that a certain statement is valid by mathematical analysis 
study2,understanding,5503,"Proof is a process of logical deduction, and every step of deduction has a theoretical basis.We can draw a conclusion by forward or backward deduction。This proof help me understand why a theorem is true."
study2,understanding,6002,"The proof must be clear and explained mathematically and in English terms with clear steps and conclusions from each justification throughout. i.e if a point is made, after it has been made it should be explained what the result of that point is and why it is relevant. "
study2,marks,5862,"First and foremost, a proof must be logically consistent and correct. By that I mean that it should be a natural progression of accurate deductions that eventually leads us to what we were trying to prove first and foremost. Second of all, it should be clear and concise. Presentation is very important in proofs and if the exposition itself cannot be followed the proof itself is somewhat useless. By ""concise"", I mean that it should not have unnecessary details. Detail in general is good, but too much of it can inflate the proofs too much. If these aspects are all present, I think a proof is worth a high mark."
study2,marks,5244,A proof must be concise and answer the question. It should be carefully laid out and contain every line of working from the theorem to end conclusion in high detail.
study2,marks,5486,It needs to be logic and convincible. A good proof is a rigorous scientific proof.
study2,marks,5765,"Be clear and concise about what you are trying to prove.

Set out work neatly and in a way that is easy to follow so that people can understand it.

State what method of proof you are using. 

Highlight assumptions you have made."
study2,marks,5700,"The proof must begin with a clear statement of what you are proving. The proof must be in-depth and no information should be missing. Any new ideas or assumptions which you bring into the proof must be justified and in some cases, you may have to prove that these are true within the original proof. There must not be any unaddressed gaps in the proof. If you use theorems, propositions etc. in your proof you must reference exactly where these can from (lectures notes, book etc.) - you cant use ideas like this without any reference. Finally, you must give a clear conclusive statement such that it is clear that you have arrived at the final desired result."
study2,marks,5249,"When we're looking at assessment, the relevant aspects are that the proof accounts for all cases that might arise, it needs to be logically consistent, the proof should be a clear chain of implications. A proof needs to include proofs, or references to proofs of any proposition it uses along the way. A good proof is well-organised and readable, but that should not matter from a marking perspective, as the only thing that should matter when it comes to assesment, is that the proof is correct, and leaves no unanswered questions."
study2,marks,6581,"The proof has to be easy to read and easily validated

 "
study2,marks,6793,"A proof is usually an argument about a statement (mathematical statement), which shows that the conclusion could be guaranteed by the assumptions given in the statement in a logical way."
study2,marks,5847,"Follow the writing standards, no logic errors, clearly state the problems and steps"
study2,marks,5250,"There is no ambiguity in what the writer is trying to prove, the notation used, the steps involved, etc, and it covers all possibilities."
study2,marks,6815,"Clear and defined stages/steps taken, highlighting any assumptions you are making and if you are substituting algebraic letters in, good use of mathematical language and sentences used, reasoning."
study2,marks,7110,there should be calim written clearly at the start of a proof. notations and laguages should be ised properly in the proof. the method of the proof should be indicated. make reference clearly when referencing from the textbook. have a clear conclution.
study2,marks,5534,"A clear and well stated proof of the claim given, with no logical gaps or unproven (by either the writer or the course textbook) assumptions."
study2,marks,5599,"A proof needs to be clear and easy to follow. It must not contain any gaps or jumps of logic and should justify why it is exhaustive. It should clearly state how it will prove what it plans to prove, and should end with a conclusion of what was proved."
study2,marks,3159,"It should make proper use of the English language. Using any nobel notation. Begin every solution with a clear statement, about what you are proving andwhy you have proved it."
study2,marks,6899,"The proof has to be explained clearly and linked well to the thing that wanted to proof. Also, when theory is addressed, it has to linked well with the proof, and a good proof need to show the statement, steps and conclusion as well"
study2,marks,7486,A proof need to be clear and use simple words that can make the readers understand easily. A proof also need to follow by steps and conform to logic.
study2,marks,5274,It should have valid theorems to help prove the standpoint and steps between steps needs to have strong connection.
study2,marks,6614,"Clear clarification, logical deduction, firm conclusion."
study2,marks,7044,"A proof needs to have clear concise steps and notation in order for the reader to believe the proof and recognise whether it is true. A good proof also needs to help the reader understand why it is true. It needs to be shown what proof method one is using, whether it is proof by contradiction, by counter example, by induction, etc. It is also very useful to write comments next to a significant number of maths that one has solved. The comments should briefly explain why the equations or statements have been brought up. In general, it is best to be as comprehensible as possible, the reader should not have many questions. "
study2,marks,6205,It must be thorough and clear.
study2,marks,5959,a clear thought process accurately written down that highlights all necessary angle of the problem.
study2,marks,6027,We should pay more attention to a process by which we reach a conclusion rather than the result. The most important thing is to trace back to the source and understand mathematics.
study2,marks,7323,Prove the theorem and each step is detailed.
study2,marks,6108,"To be worth high marks, a proof should be successful in proving the thing that it sets out to prove. The proof should not have any gaps in it and should be mathematically correct throughout."
study2,marks,5588,A proof worth high mark means the proof is logical and formative with a correct calculation.
